Name	Field	N	Type	RA	Dec		
OGLE-LMC-RRLYR-00324	LMC151.1	640	RRab	04:38:18.70	-70:41:14.50		
OGLE-LMC-RRLYR-00325	LMC151.2	788	RRab	04:38:18.77	-70:30:02.60		
OGLE-LMC-RRLYR-00326	LMC150.8	5170	RRab	04:38:19.08	-70:06:06.00		
OGLE-LMC-RRLYR-00327	LMC149.5	971	RRab	04:38:19.52	-69:01:17.60		
OGLE-LMC-RRLYR-00329	LMC150.5	5511	RRab	04:38:21.05	-69:40:54.90		
OGLE-LMC-RRLYR-00331	LMC150.6	5552	RRab	04:38:21.67	-69:44:50.90		
OGLE-LMC-RRLYR-00332	LMC151.1	669	RRab	04:38:23.40	-70:39:17.10		
OGLE-LMC-RRLYR-00334	LMC152.3	395	RRab	04:38:28.69	-66:47:23.30		
OGLE-LMC-RRLYR-00335	LMC148.6	696	RRab	04:38:28.75	-68:34:35.90		
OGLE-LMC-RRLYR-00336	LMC149.7	6679	RRab	04:38:29.66	-69:21:46.40		
OGLE-LMC-RRLYR-00337	LMC153.1	582	RRab	04:38:30.36	-67:45:29.90		
OGLE-LMC-RRLYR-00338	LMC150.6	5914	RRab	04:38:32.85	-69:41:58.20		
OGLE-LMC-RRLYR-00339	LMC149.6	6872	RRab	04:38:35.57	-69:13:31.00		
OGLE-LMC-RRLYR-00341	LMC152.1	427	RRab	04:38:38.07	-67:05:28.80		
OGLE-LMC-RRLYR-00342	LMC148.6	736	RRab	04:38:38.64	-68:39:21.40		
OGLE-LMC-RRLYR-00344	LMC149.6	6888	RRab	04:38:39.74	-69:09:45.10		
OGLE-LMC-RRLYR-00345	LMC148.7	928	RRab	04:38:39.78	-68:44:13.10		
OGLE-LMC-RRLYR-00347	LMC153.3	4141	RRab	04:38:41.79	-67:21:49.60		
OGLE-LMC-RRLYR-00348	LMC149.6	6902	RRab	04:38:43.47	-69:09:30.10		
OGLE-LMC-RRLYR-00350	LMC150.6	6007	RRab	04:38:43.94	-69:43:55.50		
OGLE-LMC-RRLYR-00351	LMC148.6	761	RRab	04:38:44.88	-68:36:09.10		
OGLE-LMC-RRLYR-00352	LMC153.3	4144	RRab	04:38:44.88	-67:27:01.00		
OGLE-LMC-RRLYR-00353	LMC148.8	739	RRab	04:38:45.20	-68:54:28.90		
OGLE-LMC-RRLYR-00358	LMC151.1	780	RRab	04:38:50.96	-70:40:18.90		
OGLE-LMC-RRLYR-00360	LMC148.6	792	RRab	04:38:54.30	-68:38:40.20		
OGLE-LMC-RRLYR-00361	LMC149.7	6789	RRab	04:38:54.32	-69:23:03.90		
OGLE-LMC-RRLYR-00363	LMC153.1	4318	RRab	04:38:56.08	-67:44:07.70		
OGLE-LMC-RRLYR-00364	LMC151.1	809	RRab	04:38:57.93	-70:38:06.30		
OGLE-LMC-RRLYR-00365	LMC150.7	6119	RRab	04:38:58.04	-69:56:23.80		
OGLE-LMC-RRLYR-00366	LMC150.6	6743	RRab	04:39:01.71	-69:41:14.80		
OGLE-LMC-RRLYR-00367	LMC148.8	822	RRab	04:39:03.22	-68:51:47.20		
OGLE-LMC-RRLYR-00368	LMC149.7	6832	RRab	04:39:04.70	-69:17:30.00		
OGLE-LMC-RRLYR-00370	LMC152.4	397	RRab	04:39:06.22	-66:39:04.20		
OGLE-LMC-RRLYR-00373	LMC153.3	4207	RRab	04:39:08.23	-67:24:23.90		
OGLE-LMC-RRLYR-00375	LMC149.6	7029	RRab	04:39:09.92	-69:06:51.80		
OGLE-LMC-RRLYR-00377	LMC151.2	1008	RRab	04:39:12.43	-70:27:58.70		
OGLE-LMC-RRLYR-00378	LMC149.7	6876	RRab	04:39:14.75	-69:19:05.80		
OGLE-LMC-RRLYR-00379	LMC149.8	7539	RRab	04:39:17.03	-69:28:22.30		
OGLE-LMC-RRLYR-00381	LMC151.2	1735	RRab	04:39:19.46	-70:30:19.20		
OGLE-LMC-RRLYR-00383	LMC149.6	7886	RRab	04:39:21.66	-69:05:44.80		
