# Extinction map of the Large Magellanic Cloud derived using OGLE-III RR Lyr stars
#
# When using this map, please cite our paper: Pejcha & Stanek (2009)
#
# Version: May 19 2009
#
# Description
# 
# The map is given sinusoidal projection. You can compute projected coordinates (x,y) for your target from
#  x = (RA-80.35)*cos(DEC)
#  y = DEC+69.68
# Here RA and DEC are given in degrees. The map is pixelized in fixed spatial resolution of 0.2 sq. deg.
#
# Column 1: Minimum x
# Column 2: Maximum x
# Column 3: Minimum y
# Column 4: Maximum y
# Column 5: mean E(V-I)
# Column 6: rms of E(V-I)
# Column 7: internal reddening in the sense E(V-I)_distant - E(V-I)_close
# Column 8: Number of stars in pixel
#
#
# If number of stars in pixel is < 2 we give zeros in Columns 5-7.
# If number of stars in pixel is < 4 we give zero in Column 7.
# Robust rms scatter of internal reddening is 0.058 mag. Therefore, all values of internal reddening that are lower than ~0.06 mag are consistent with zero.
#
#
minX     maxX    minY    maxY   Ext    rms     delta  n
-2.900  -2.700   0.400   0.600  0.220  0.079   0.118  5
-2.900  -2.700   0.600   0.800  0.165  0.076   0.037  11
-2.900  -2.700   0.800   1.000  0.135  0.051  -0.039  4
-2.900  -2.700   1.000   1.200  0.142  0.054   0.002  5
-2.900  -2.700   1.200   1.400  0.246  0.208   0.000  2
-2.900  -2.700   1.400   1.600  0.156  0.065   0.000  3
-2.900  -2.700   1.600   1.800  0.095  0.032  -0.035  5
-2.900  -2.700   1.800   2.000  0.091  0.055   0.018  5
-2.900  -2.700   2.000   2.200  0.083  0.015   0.000  2
-2.900  -2.700   2.200   2.400  0.106  0.060  -0.003  8
-2.900  -2.700   2.400   2.600  0.306  0.386   0.488  9
-2.900  -2.700   2.600   2.800  0.221  0.264   0.438  5
-2.900  -2.700   2.800   3.000  0.267  0.210   0.000  2
-2.900  -2.700   3.000   3.200  0.000  0.000   0.000  0
-2.900  -2.700   3.200   3.400  0.000  0.000   0.000  0
-2.700  -2.500  -3.400  -3.200  0.000  0.000   0.000  0
-2.700  -2.500  -3.200  -3.000  0.000  0.000   0.000  0
-2.700  -2.500  -3.000  -2.800  0.000  0.000   0.000  0
-2.700  -2.500  -2.800  -2.600  0.000  0.000   0.000  0
-2.700  -2.500  -2.600  -2.400  0.000  0.000   0.000  0
-2.700  -2.500  -2.400  -2.200  0.000  0.000   0.000  0
-2.700  -2.500  -2.200  -2.000  0.000  0.000   0.000  0
-2.700  -2.500  -2.000  -1.800  0.000  0.000   0.000  0
-2.700  -2.500  -1.800  -1.600  0.000  0.000   0.000  0
